,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
3355,84,Bathhousenail Lane,Leigh,O'Donnell,28,Son,Single,Male,Financial manager,None,Methodist
3356,84,Bathhousenail Lane,Mark,O'Donnell,22,Son,Divorced,Male,University Student,None,Methodist
3357,85,Bathhousenail Lane,Tracy,Briggs,48,Head,Married,Female,Trading standards officer,None,None
3358,85,Bathhousenail Lane,Iain,Briggs,50,Husband,Married,Male,Chartered management accountant,None,None
3359,85,Bathhousenail Lane,Glenn,Briggs,8,Son,NA,Male,Student,None,NA
3360,85,Bathhousenail Lane,Connor,Briggs,3,Son,NA,Male,Child,None,NA
3361,86,Bathhousenail Lane,Sophie,Clayton,51,Head,Single,Female,Health promotion specialist,None,Christian
3362,86,Bathhousenail Lane,Max,Clayton,25,Son,Single,Male,Careers information officer,None,Christian
3363,86,Bathhousenail Lane,Karl,Clayton,22,Son,Single,Male,University Student,None,Christian
3364,86,Bathhousenail Lane,Lydia,Clayton,17,Daughter,NA,Female,Student,None,NA
3365,87,Bathhousenail Lane,Annette,Todd,28,Head,Divorced,Female,"Pharmacist, hospital",None,Christian
3366,88,Bathhousenail Lane,Daniel,Jennings,70,Head,Widowed,Male,"Retired Designer, furniture",None,None
3367,88,Bathhousenail Lane,Bernard,Jennings,19,Grandson,Single,Male,University Student,None,None
3368,88,Bathhousenail Lane,Cheryl,Jennings,15,Granddaughter,NA,Female,Student,None,NA
3369,88,Bathhousenail Lane,Victor,Jennings,14,Grandson,NA,Male,Student,None,NA
3370,89,Bathhousenail Lane,Stewart,Young,40,Head,Single,Male,"Programmer, systems",None,Methodist
3371,89,Bathhousenail Lane,Ann,Osborne,21,None,Single,Female,University Student,None,None
3372,89,Bathhousenail Lane,Robert,Duncan,18,None,Single,Male,Student,None,NA
3373,89,Bathhousenail Lane,Graeme,Phillips,38,None,Single,Male,Unemployed,None,None
3374,90,Bathhousenail Lane,Francesca,Ball,26,Head,Single,Female,Company secretary,None,Catholic
3375,90,Bathhousenail Lane,Maureen,Ball,6,Daughter,NA,Female,Student,None,NA
3376,91,Bathhousenail Lane,Nathan,Davies,41,Head,Married,Male,Publishing copy,None,None
3377,91,Bathhousenail Lane,Louise,Davies,40,Wife,Married,Female,Volunteer coordinator,None,None
3378,91,Bathhousenail Lane,Janet,Davies,0,Daughter,NA,Female,Child,None,NA
3379,92,Bathhousenail Lane,Natalie,Hudson,55,Head,Married,Female,Public relations account executive,None,Christian
3380,92,Bathhousenail Lane,Ian,Hudson,57,Husband,Married,Male,Theatre director,None,Christian
3381,92,Bathhousenail Lane,Suzanne,Hudson,42,Daughter,Single,Female,Broadcast engineer,None,Christian
3382,92,Bathhousenail Lane,Antony,Hudson,41,Son,Single,Male,Health visitor,None,None
3383,92,Bathhousenail Lane,Aaron,Hudson,36,Son,Divorced,Male,"Engineer, maintenance (IT)",None,Christian
3384,93,Bathhousenail Lane,Dominic,Jones,28,Head,Divorced,Male,Volunteer coordinator,None,Christian
3385,93,Bathhousenail Lane,Gail,Jones,4,Daughter,NA,Female,Child,None,NA
3386,93,Bathhousenail Lane,Nicholas,Jones,1,Son,NA,Male,Child,None,NA
3387,93,Bathhousenail Lane,Chelsea,Wade,28,Sibling,Single,Female,"Psychotherapist, child",None,Christian
3388,94,Bathhousenail Lane,Claire,Mann,71,Head,Divorced,Female,"Retired Embryologist, clinical",None,Christian
3389,94,Bathhousenail Lane,Angela,Mann,29,Daughter,Divorced,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
3390,94,Bathhousenail Lane,Stephen,Mann,24,Son,Single,Male,Commissioning editor,None,None
3391,95,Bathhousenail Lane,Elaine,Williams,29,Head,Single,Female,Dramatherapist,None,Christian
3392,95,Bathhousenail Lane,Joel,Morgan,28,Partner,Single,Male,Trade mark attorney,None,Christian
3393,95,Bathhousenail Lane,Josephine,Williams,12,Daughter,NA,Female,Student,None,NA
3394,95,Bathhousenail Lane,Guy,Williams,11,Adopted Son,NA,Male,Student,None,NA
3395,95,Bathhousenail Lane,Gary,Williams,8,Son,NA,Male,Student,None,NA
3396,96,Bathhousenail Lane,Howard,Wilson,63,Head,Married,Male,Data scientist,None,Christian
3397,96,Bathhousenail Lane,Anna,Wilson,58,Wife,Married,Female,"Therapist, nutritional",None,Christian
3398,96,Bathhousenail Lane,Hazel,Wilson,17,Daughter,NA,Female,Student,None,NA
3399,96,Bathhousenail Lane,Frances,Wilson,10,Daughter,NA,Female,Student,None,NA
3400,97,Bathhousenail Lane,Stewart,Chadwick,35,Head,Single,Male,Geophysicist/field seismologist,None,Methodist
3401,97,Bathhousenail Lane,Ashleigh,Chadwick,11,Daughter,NA,Female,Student,None,NA
3402,97,Bathhousenail Lane,Charlene,Chadwick,10,Daughter,NA,Female,Student,None,NA
3403,98,Bathhousenail Lane,Jennifer,Wilson,47,Head,Married,Female,Chief Financial Officer,None,None
3404,98,Bathhousenail Lane,William,Wilson,49,Husband,Married,Male,Personal assistant,None,None
3405,98,Bathhousenail Lane,Jacqueline,Wilson,13,Daughter,NA,Female,Student,None,NA
3406,99,Bathhousenail Lane,Donald,Williams,75,Head,Married,Male,Retired Financial controller,None,Christian
3407,99,Bathhousenail Lane,Denise,Williams,74,Wife,Married,Female,Retired IT sales professional,None,Christian
3408,100,Bathhousenail Lane,Sally,Owens,51,Head,Married,Female,IT technical support officer,None,Catholic
3409,100,Bathhousenail Lane,Scott,Owens,52,Husband,Married,Male,Unemployed,None,Catholic
3410,100,Bathhousenail Lane,Maurice,Owens,14,Son,NA,Male,Student,None,NA
3411,100,Bathhousenail Lane,Dominic,Owens,10,Son,NA,Male,Student,None,NA
3412,101,Bathhousenail Lane,Abbie,Stevens,33,Head,Single,Female,Unemployed,None,None
3413,101,Bathhousenail Lane,Carl,Anderson,34,Partner,Single,Male,Mental health nurse,None,None
3414,101,Bathhousenail Lane,Timothy,Stevens,5,Son,NA,Male,Student,None,NA
3415,101,Bathhousenail Lane,Oliver,Stevens,1,Son,NA,Male,Child,None,NA
3416,101,Bathhousenail Lane,Dennis,Harris,43,Lodger,Divorced,Male,Diagnostic radiographer,None,None
3417,101,Bathhousenail Lane,Mohammed,Hilton,41,Lodger,Single,Male,"Restaurant manager, fast food",None,None
3418,102,Bathhousenail Lane,Julia,Clarke,58,Head,Married,Female,"Investment banker, operational",None,Methodist
3419,102,Bathhousenail Lane,Tom,Clarke,61,Husband,Married,Male,Actuary,None,Methodist
3420,102,Bathhousenail Lane,Rebecca,Clarke,27,Daughter,D,Female,Insurance underwriter,None,Methodist
3421,102,Bathhousenail Lane,Lewis,Clarke,6,Son,NA,Male,Student,None,NA
3422,103,Bathhousenail Lane,Carol,Williamson,52,Head,Married,Female,Legal executive,None,Christian
3423,103,Bathhousenail Lane,Victor,Williamson,53,Husband,Married,Male,Nature conservation officer,None,Christian
3424,103,Bathhousenail Lane,Amanda,Williamson,23,Daughter,Single,Female,"Designer, exhibition/display",None,None
3425,103,Bathhousenail Lane,Deborah,Williamson,19,Daughter,Widowed,Female,University Student,None,None
3426,103,Bathhousenail Lane,Stanley,Williamson,16,Son,NA,Male,Student,None,NA
3427,103,Bathhousenail Lane,Frederick,Williamson,11,Son,NA,Male,Student,None,NA
3428,104,Bathhousenail Lane,Ruth,Clark,31,Head,Married,Female,Unemployed,None,None
3429,104,Bathhousenail Lane,Lee,Clark,33,Husband,Married,Male,Neurosurgeon,None,None
3430,104,Bathhousenail Lane,Shirley,Murphy,20,Lodger,Single,Female,University Student,None,None
3431,104,Bathhousenail Lane,Bethan,Smith,31,Lodger,Single,Female,Charity fundraiser,None,Catholic
3432,105,Bathhousenail Lane,Michelle,Rogers,65,Head,Married,Female,Retail buyer,None,Methodist
3433,105,Bathhousenail Lane,Glen,Rogers,63,Husband,Married,Male,Learning disability nurse,None,Methodist
3434,105,Bathhousenail Lane,Stewart,Rogers,31,Son,Divorced,Male,Toxicologist,None,Methodist
3435,105,Bathhousenail Lane,Robin,Rogers,28,Son,Single,Male,Unemployed,None,None
3436,106,Bathhousenail Lane,Kirsty,Lee,42,Head,Married,Female,Architectural technologist,None,Catholic
3437,106,Bathhousenail Lane,Phillip,Lee,43,Husband,Married,Male,Heritage manager,None,Catholic
3438,106,Bathhousenail Lane,Fiona,Lee,22,Daughter,Divorced,Female,University Student,None,None
3439,106,Bathhousenail Lane,Irene,Lee,4,Daughter,NA,Female,Child,None,NA
3440,107,Bathhousenail Lane,Andrea,Oliver,37,Head,Divorced,Female,Personal assistant,None,Christian
3441,107,Bathhousenail Lane,Ann,Oliver,2,Daughter,NA,Female,Child,None,NA
3442,108,Bathhousenail Lane,Gillian,Wilson,45,Head,Divorced,Female,"Engineer, manufacturing",None,Catholic
3443,108,Bathhousenail Lane,Rita,Wilson,11,Daughter,NA,Female,Student,None,NA
3444,108,Bathhousenail Lane,Carl,Wilson,10,Son,NA,Male,Student,None,NA
3445,108,Bathhousenail Lane,Georgia,Wilson,4,Daughter,NA,Female,Child,None,NA
3446,108,Bathhousenail Lane,Richard,Evans,60,Lodger,Single,m,Fast food restaurant manager,None,Methodist
3447,108,Bathhousenail Lane,Shirley,Cunningham,61,Lodger,Single,Female,Unemployed,None,None
3448,108,Bathhousenail Lane,Ricky,Bradley,39,Lodger,Single,Male,Advertising account executive,None,Catholic
3449,109,Bathhousenail Lane,Marie,Johnston,66,Head,Married,Female,Hospital doctor,None,Christian
3450,109,Bathhousenail Lane,Stewart,Johnston,69,Husband,Married,Male,Retired Dealer,None,None
3451,109,Bathhousenail Lane,Hilary,Johnston,22,Daughter,Divorced,Female,University Student,None,Christian
3452,109,Bathhousenail Lane,Alex,Johnston,20,Son,Single,Male,University Student,None,None
3453,109,Bathhousenail Lane,Jane,Johnston,10,Daughter,NA,Female,Student,None,NA
3454,110,Bathhousenail Lane,Chloe,Read,38,Head,Married,Female,Software engineer,None,Catholic
3455,110,Bathhousenail Lane,Justin,Read,40,Husband,Married,Male,Seismic interpreter,None,None
3456,110,Bathhousenail Lane,Darren,Read,14,Son,NA,Male,Student,None,NA
3457,110,Bathhousenail Lane,Lewis,Read,11,Son,NA,Male,Student,None,NA
3458,111,Bathhousenail Lane,Iain,Anderson,42,Head,Single,Male,Technical brewer,None,Christian
3459,112,Bathhousenail Lane,Amanda,Clark,39,Head,Single,Female,Unemployed,None,Catholic
3460,112,Bathhousenail Lane,Kayleigh,Clark,21,Daughter,Single,Female,University Student,None,Catholic
3461,112,Bathhousenail Lane,Marilyn,Clark,18,Daughter,Divorced,Female,Student,None,Catholic
3462,112,Bathhousenail Lane,Stewart,Clark,17,Son,NA,Male,Student,None,NA
3463,113,Bathhousenail Lane,Bradley,Smith,61,Head,Single,Male,"Engineer, petroleum",None,Christian
3464,113,Bathhousenail Lane,Jane,Smith,34,Daughter,Single,Female,"Doctor, general practice",None,Christian
3465,113,Bathhousenail Lane,Scott,Smith,34,Son,Single,Male,"Investment banker, operational",None,Christian
3466,113,Bathhousenail Lane,Kyle,Smith,26,Son,Single,Male,Field seismologist,None,Christian
3467,113,Bathhousenail Lane,Jonathan,Smith,22,Son,Divorced,Male,University Student,None,None
3468,113,Bathhousenail Lane,Steven,Smith,17,Son,NA,Male,Student,None,NA
3469,114,Bathhousenail Lane,Carole,Richards-Kelly,41,Head,Single,Female,"Teacher, adult education",None,Catholic
3470,114,Bathhousenail Lane,Julian,Duncan,39,Partner,Single,Male,Engineering geologist,None,Catholic
3471,114,Bathhousenail Lane,Gregory,Richards-Kelly,12,Son,NA,Male,Student,None,NA
3472,114,Bathhousenail Lane,Lewis,Richards-Kelly,10,Son,NA,Male,Student,None,NA
3473,115,Bathhousenail Lane,Pauline,Cook,50,Head,Divorced,Female,"Sound technician, broadcasting/film/video",None,Christian
3474,115,Bathhousenail Lane,Sandra,Cook,11,Daughter,NA,Female,Student,None,NA
3475,115,Bathhousenail Lane,Amber,Cook,7,Daughter,NA,Female,Student,None,NA
3476,115,Bathhousenail Lane,Craig,Cook,2,Son,NA,Male,Child,None,NA
3477,115,Bathhousenail Lane,Norman,Cook,0,Son,NA,Male,Child,None,NA
3478,116,Bathhousenail Lane,Beverley,Stanley,53,Head,Single,Female,Osteopath,None,None
3479,116,Bathhousenail Lane,Katie,Cox,43,None,Single,Female,"Surveyor, planning and development",None,None
3480,116,Bathhousenail Lane,Martin,Brady,52,None,Single,Male,Civil Service fast streamer,None,None
3481,116,Bathhousenail Lane,Paige,May,52,None,Single,Female,Quarry manager,None,Christian
3482,116,Bathhousenail Lane,Lauren,Hall,64,None,Divorced,Female,Adult guidance worker,None,None
3483,116,Bathhousenail Lane,Angela,Winter,30,None,Single,Female,Counsellor,None,Catholic
3484,117,Bathhousenail Lane,Sara,Webb,76,Head,Widowed,Female,Retired Phytotherapist,None,Christian
3485,117,Bathhousenail Lane,Joyce,Webb,46,Daughter,Single,Female,Meteorologist,None,None
3486,117,Bathhousenail Lane,Cheryl,Webb,45,Daughter,Divorced,Female,Fish farm manager,None,Christian
3487,117,Bathhousenail Lane,Victoria,Webb,45,Daughter,Single,Female,Sports coach,None,Christian
3488,118,Bathhousenail Lane,Jay,Gould,28,Head,Married,Male,Plant breeder/geneticist,None,None
3489,118,Bathhousenail Lane,Ruth,Gould,29,Wife,Married,Female,"Radiographer, diagnostic",None,None
3490,118,Bathhousenail Lane,Anna,Mitchell,21,Lodger,Single,Female,University Student,None,Muslim
3491,118,Bathhousenail Lane,Natasha,Knight,22,Visitor,Single,Female,University Student,None,Methodist
3492,119,Bathhousenail Lane,Kathleen,Oliver,30,Head,Married,Female,Police officer,None,None
3493,119,Bathhousenail Lane,Graham,Oliver,32,Husband,Married,Male,Broadcast presenter,None,None
3494,119,Bathhousenail Lane,Tina,Oliver,9,Daughter,NA,Female,Student,None,NA
3495,119,Bathhousenail Lane,Victor,Oliver,8,Son,NA,Male,Student,None,NA
3496,120,Bathhousenail Lane,Ruth,Thorpe,43,Head,Married,Female,Medical illustrator,None,None
3497,120,Bathhousenail Lane,Alan,Thorpe,38,Husband,Married,Male,"Teacher, English as a foreign language",None,None
3498,120,Bathhousenail Lane,Donald,Thorpe,7,Son,NA,M,Student,None,NA
3499,120,Bathhousenail Lane,Frederick,Thorpe,3,Son,NA,Male,Child,None,NA
3500,120,Bathhousenail Lane,Jade,Thorpe,0,Daughter,NA,Female,Child,None,NA
3501,120,Bathhousenail Lane,Sophie,Ward,63,Lodger,Divorced,Female,Energy engineer,None,Christian
3502,121,Bathhousenail Lane,Nicole,Blake,54,Head,Married,Female,"Administrator, sports",None,None
3503,121,Bathhousenail Lane,Leon,Blake,57,Husband,Married,Male,Information officer,None,None
3504,121,Bathhousenail Lane,Zoe,Blake,25,Daughter,Divorced,Female,Acupuncturist,Physical Disability,None
3505,121,Bathhousenail Lane,Abbie,Blake,14,Daughter,NA,Female,Student,None,NA
3506,122,Bathhousenail Lane,Sara,Hill,60,Head,Married,Female,"Engineer, communications",None,Christian
3507,122,Bathhousenail Lane,Stanley,Hill,62,Husband,Married,Male,Telecommunications researcher,None,Christian
3508,122,Bathhousenail Lane,Stanley,Hill,21,Son,Single,Male,University Student,None,None
3509,122,Bathhousenail Lane,Allan,Hill,13,Son,NA,Male,Student,None,NA
3510,123,Bathhousenail Lane,Anne,Thomas,33,Head,Married,Female,Chief Technology Officer,None,Muslim
3511,123,Bathhousenail Lane,Terence,Thomas,35,Husband,Married,Male,Systems developer,None,Muslim
3512,123,Bathhousenail Lane,Luke,Thomas,13,Son,NA,Male,Student,None,NA
3513,123,Bathhousenail Lane,Carolyn,Begum,9,Daughter,NA,Female,Student,None,NA
3514,124,Bathhousenail Lane,Carol,Edwards,60,Head,Single,Female,Unemployed,None,Catholic
3515,124,Bathhousenail Lane,Allan,Edwards,19,Son,Single,Male,University Student,None,None
3516,124,Bathhousenail Lane,Alexander,Edwards,15,Son,NA,Male,Student,None,NA
3517,124,Bathhousenail Lane,Dorothy,Edwards,15,Daughter,NA,Female,Student,None,NA
3518,124,Bathhousenail Lane,Lynn,Edwards,11,Daughter,NA,Female,Student,None,NA
3519,124,Bathhousenail Lane,Martyn,Edwards,9,Son,NA,Male,Student,None,NA
3520,125,Bathhousenail Lane,Jamie,Duffy,35,Head,Divorced,Male,Environmental consultant,None,Catholic
3521,126,Bathhousenail Lane,Mary,Moss,55,Head,Married,Female,Child psychotherapist,None,None
3522,126,Bathhousenail Lane,Leon,Moss,57,Husband,Married,Male,Claims inspector/assessor,None,None
3523,126,Bathhousenail Lane,Ashleigh,Moss,14,Daughter,NA,Female,Student,None,NA
3524,126,Bathhousenail Lane,Dorothy,Moss,10,Daughter,NA,Female,Student,None,NA
3525,127,Bathhousenail Lane,Suzanne,Reynolds,43,Head,Married,Female,Landscape architect,None,Christian
3526,127,Bathhousenail Lane,Adam,Reynolds,47,Husband,Married,Male,Retail banker,None,None
3527,127,Bathhousenail Lane,Mitchell,Clark-Reynolds,17,Son,NA,Male,Student,None,NA
3528,127,Bathhousenail Lane,Clifford,Clark-Reynolds,15,Son,NA,male,Student,None,NA
3529,127,Bathhousenail Lane,Damian,Clark-Reynolds,11,Son,NA,Male,Student,None,NA
3530,127,Bathhousenail Lane,Clare,Clark-Reynolds,9,Daughter,NA,Female,Student,None,NA
3531,128,Bathhousenail Lane,Gregory,Simpson,45,Head,Divorced,M,Arts administrator,None,Christian
3532,129,Bathhousenail Lane,Angela,Lee,22,Head,Widowed,Female,University Student,None,Catholic
3533,130,Bathhousenail Lane,Stewart,Cooper,61,Head,Divorced,Male,Unemployed,None,Catholic
3534,131,Bathhousenail Lane,Alison,Woods,36,Head,Married,Female,Legal secretary,None,Catholic
3535,131,Bathhousenail Lane,Mohamed,Woods,39,Husband,Married,Male,Geophysicist/field seismologist,None,Catholic
3536,131,Bathhousenail Lane,Brett,Woods,15,Son,NA,Male,Student,None,NA
3537,132,Bathhousenail Lane,Judith,Dunn,69,Head,Widowed,Female,Retired Psychiatric nurse,None,Methodist
3538,133,Bathhousenail Lane,Carly,Begum,44,Head,Divorced,Female,Local government officer,None,Christian
3539,133,Bathhousenail Lane,Paige,Begum,11,Daughter,NA,Female,Student,None,NA
3540,133,Bathhousenail Lane,Marcus,Begum,7,Son,NA,Male,Student,None,NA
3541,133,Bathhousenail Lane,Abigail,Begum,3,Daughter,NA,Female,Child,None,NA
3542,134,Bathhousenail Lane,Diana,Dickinson-Walton,69,Head,Widowed,Female,Retired Fashion designer,None,Christian
3543,134,Bathhousenail Lane,Brenda,Dickinson-Walton,17,Granddaughter,NA,Female,Student,None,NA
3544,135,Bathhousenail Lane,Charlene,Kaur,43,Head,Single,Female,Probation officer,None,Christian
3545,135,Bathhousenail Lane,Charlie,Parkes,27,None,Single,Male,Financial trader,None,Methodist
3546,135,Bathhousenail Lane,Melissa,James,35,None,Single,Female,"Scientist, research (maths)",None,Catholic
3547,135,Bathhousenail Lane,Christopher,Taylor,53,None,Single,Male,Control and instrumentation engineer,None,Christian
3548,136,Bathhousenail Lane,Danielle,Swift,39,Head,Married,Female,Unemployed,None,None
3549,136,Bathhousenail Lane,Lawrence,Swift,41,Husband,Married,Male,Diplomatic Services operational officer,None,None
3550,136,Bathhousenail Lane,Nigel,Swift,9,Son,NA,Male,Student,None,NA
3551,137,Bathhousenail Lane,Philip,Allen,25,Head,Divorced,Male,Engineering geologist,None,Christian
3552,138,Bathhousenail Lane,Joyce,Lawrence,58,Head,Married,Female,Electrical engineer,None,None
3553,138,Bathhousenail Lane,Lewis,Lawrence,66,Husband,Married,Male,Public relations officer,None,None
3554,138,Bathhousenail Lane,Elliot,Lawrence,16,Son,NA,Male,Student,None,NA
3555,138,Bathhousenail Lane,Alexandra,Lawrence,13,Daughter,NA,Female,Student,None,NA
3556,139,Bathhousenail Lane,Sara,Hall,48,Head,Single,Female,Ranger/warden,None,None
3557,139,Bathhousenail Lane,Garry,Baker,54,Partner,Single,Male,"Engineer, materials",None,None
3558,139,Bathhousenail Lane,Stuart,Hall,29,Son,Divorced,Male,Communications engineer,None,None
3559,139,Bathhousenail Lane,Caroline,Hall,25,Daughter,Divorced,Female,Visual merchandiser,None,None
3560,139,Bathhousenail Lane,Jill,Hall,23,Daughter,Single,Female,Set designer,None,None
3561,139,Bathhousenail Lane,Terry,Hall,18,Son,Single,Male,Student,None,None
3562,139,Bathhousenail Lane,Eileen,Hall,13,Daughter,NA,Female,Student,None,NA
3563,140,Bathhousenail Lane,Marie,Wilson,49,Head,Married,Female,"Scientist, research (physical sciences)",None,Catholic
3564,140,Bathhousenail Lane,Simon,Wilson,49,Husband,Married,Male,Child psychotherapist,None,Catholic
3565,140,Bathhousenail Lane,Wayne,Wilson,21,Son,Single,Male,University Student,None,None
3566,140,Bathhousenail Lane,Rita,Wilson,13,Adopted Daughter,NA,Female,Student,None,NA
3567,141,Bathhousenail Lane,Cheryl,Butcher,49,Head,Single,Female,Clinical biochemist,None,Christian
3568,141,Bathhousenail Lane,Russell,Randall,51,Partner,Single,Male,"Designer, textile",None,None
3569,141,Bathhousenail Lane,Brett,Butcher,23,Son,Single,Male,Fitness centre manager,None,Christian
3570,141,Bathhousenail Lane,Paige,Butcher,10,Daughter,NA,Female,Student,None,NA
3571,142,Bathhousenail Lane,Dean,Turner,34,Head,Married,Male,Arboriculturist,None,None
3572,142,Bathhousenail Lane,Barbara,Turner,33,Wife,Married,Female,"Therapist, occupational",None,None
3573,142,Bathhousenail Lane,Kirsty,Barrett,49,Lodger,Single,Female,Careers information officer,None,Methodist
3574,142,Bathhousenail Lane,Michael,Ahmed,52,Lodger,Single,Male,"Development worker, community",None,Catholic
3575,143,Bathhousenail Lane,Stacey,Palmer,33,Head,Divorced,Female,"Designer, furniture",None,None
3576,143,Bathhousenail Lane,Paul,Palmer,5,Son,NA,Male,Student,None,NA
3577,143,Bathhousenail Lane,Terence,Palmer,1,Son,NA,Male,Child,None,NA
3578,143,Bathhousenail Lane,Stewart,Johnson,24,Lodger,Single,Male,"Loss adjuster, chartered",None,Christian
3579,144,Bathhousenail Lane,Carol,Hall,25,Head,Single,Female,Building surveyor,None,Muslim
3580,144,Bathhousenail Lane,Clifford,Wilson,57,None,Single,Male,Dispensing optician,None,Christian
3581,144,Bathhousenail Lane,Oliver,Willis,50,None,Single,Male,"Physicist, medical",None,Catholic
3582,144,Bathhousenail Lane,John,Fisher,42,None,Single,Male,"Administrator, arts",None,None
3583,144,Bathhousenail Lane,Jayne,Gordon,61,None,Single,Female,Seismic interpreter,Disabled,Christian
3584,144,Bathhousenail Lane,Joyce,Clarke,48,None,Single,Female,Charity fundraiser,None,Christian
3585,145,Bathhousenail Lane,Patricia,Curtis,61,Head,Married,Female,"Scientist, water quality",None,None
3586,145,Bathhousenail Lane,Geoffrey,Curtis,63,Husband,Married,Male,Fashion designer,None,None
3587,145,Bathhousenail Lane,Linda,Curtis,24,Daughter,Divorced,Female,Tour manager,None,None
3588,145,Bathhousenail Lane,Josh,Curtis,23,Son,Single,Male,Best boy,None,None
3589,145,Bathhousenail Lane,Amber,Curtis,21,Daughter,Single,Female,University Student,None,None
3590,146,Bathhousenail Lane,Wendy,Jones,42,Head,Single,Female,"Therapist, drama",None,Christian
3591,146,Bathhousenail Lane,Beverley,Jones,13,Daughter,NA,female,Student,None,NA
3592,146,Bathhousenail Lane,Michael,Jones,11,Son,NA,Male,Student,None,NA
3593,146,Bathhousenail Lane,Owen,Jones,6,Son,NA,Male,Student,None,NA
3594,146,Bathhousenail Lane,Garry,Jones,3,Son,NA,Male,Child,None,NA
3595,147,Bathhousenail Lane,Joe,Smith,64,Head,Married,Male,Garment/textile technologist,None,Methodist
3596,147,Bathhousenail Lane,Jennifer,Smith,62,Wife,Married,Female,"Production assistant, radio",None,Methodist
3597,148,Bathhousenail Lane,Natalie,Whitehouse,31,Head,Married,Female,Adult nurse,None,None
3598,148,Bathhousenail Lane,Jake,Whitehouse,33,Husband,Married,Male,Manufacturing systems engineer,None,None
3599,148,Bathhousenail Lane,Patrick,Whitehouse,9,Son,NA,Male,Student,None,NA
3600,148,Bathhousenail Lane,Amber,Whitehouse,5,Daughter,NA,Female,Student,None,NA
3601,149,Bathhousenail Lane,Paula,Hawkins,35,Head,Single,Female,Comptroller,None,None
3602,149,Bathhousenail Lane,Mathew,Barker,37,Partner,Single,Male,Trade mark attorney,None,None
3603,149,Bathhousenail Lane,Glen,Hawkins,3,Son,NA,Male,Child,None,NA
3604,149,Bathhousenail Lane,Elaine,Hawkins,3,Daughter,NA,Female,Child,None,NA
3605,150,Bathhousenail Lane,Frances,Patel,47,Head,Married,Female,Wellsite geologist,None,None
3606,150,Bathhousenail Lane,Christopher,Patel,53,Husband,Married,Male,Broadcast journalist,None,None
3607,150,Bathhousenail Lane,Peter,Patel,19,Son,Single,Male,Arts development officer,None,None
3608,150,Bathhousenail Lane,Damien,Pearson-Patel,9,Son,NA,Male,Student,None,NA
3609,151,Bathhousenail Lane,Guy,Woods,55,Head,Married,Male,Meteorologist,None,None
3610,151,Bathhousenail Lane,Debra,Woods,53,Wife,Married,Female,Surgeon,None,None
3611,151,Bathhousenail Lane,Brandon,Woods,17,Son,NA,Male,Student,None,NA
3612,151,Bathhousenail Lane,Jodie,Woods,16,Daughter,NA,Female,Student,None,NA
3613,152,Bathhousenail Lane,Mandy,Martin,47,Head,Single,Female,Aid worker,None,None
3614,152,Bathhousenail Lane,Adam,Hardy,49,Partner,Single,Male,Unemployed,None,None
3615,152,Bathhousenail Lane,Christopher,Martin,15,Son,NA,Male,Student,None,NA
3616,153,Bathhousenail Lane,Marilyn,Craig,42,Head,Married,Female,Network engineer,None,None
3617,153,Bathhousenail Lane,Darren,Craig,43,Husband,Married,Male,Conference centre manager,None,None
3618,153,Bathhousenail Lane,Kelly,Craig,7,Daughter,NA,Female,Student,None,NA
3619,154,Bathhousenail Lane,Zoe,Clark,62,Head,Married,Female,"Scientist, research (medical)",None,None
3620,154,Bathhousenail Lane,Donald,Clark,63,Husband,Married,Male,Interior and spatial designer,None,None
3621,154,Bathhousenail Lane,Connor,Dale,29,Son,Single,Male,Best boy,None,None
3622,154,Bathhousenail Lane,Francesca,Dale,27,Daughter,Single,Female,"Scientist, forensic",None,None
3623,155,Bathhousenail Lane,Valerie,Clarke,48,Head,Single,Female,Unemployed,None,None
3624,155,Bathhousenail Lane,Barry,Clarke,18,Son,Single,Male,Student,None,None
3625,155,Bathhousenail Lane,Julian,Clarke,17,Son,NA,Male,Student,None,NA
3626,155,Bathhousenail Lane,Yvonne,Clarke,14,Daughter,NA,Female,Student,None,NA
3627,156,Bathhousenail Lane,Fiona,Graham,61.19850225,Head,Married,Female,"Designer, interior/spatial",None,None
3628,156,Bathhousenail Lane,Brian,Graham,63.19850225,Husband,Married,Male,Unemployed,None,None
3629,156,Bathhousenail Lane,Fiona,Graham,10,Daughter,NA,Female,Student,None,NA
3630,156,Bathhousenail Lane,Sean,Graham,5,Son,NA,Male,Student,None,NA
3631,157,Bathhousenail Lane,Peter,Wells,33,Head,Divorced,Male,Unemployed,None,None
3632,157,Bathhousenail Lane,Gerard,Wells,9,Son,NA,Male,Student,None,NA
3633,157,Bathhousenail Lane,Jessica,Wells,6,Daughter,NA,Female,Student,None,NA
3634,157,Bathhousenail Lane,Frederick,Wells,5,Son,NA,Male,Student,None,NA
3635,158,Bathhousenail Lane,Chelsea,Morgan,27,Head,Divorced,Female,Unemployed,None,Muslim
3636,158,Bathhousenail Lane,Lynda,Morgan,10,Daughter,NA,Female,Student,None,NA
3637,158,Bathhousenail Lane,Thomas,Morgan,6,Son,NA,Male,Student,None,NA
3638,158,Bathhousenail Lane,Christopher,Morgan,4,Son,NA,Male,Child,Physical Disability,NA
